File ID	Condition
0002.mp4	Normal
0003.mp4	Normal
0004.mp4	Normal
0005.mp4	Normal
0006.mp4	Normal
0007.mp4	Normal
0008.mp4	Normal
0009.mp4	Normal
0010.mp4	Normal
0011.mp4	Normal
0012.mp4	Normal
0013.mp4	Normal
0014.mp4	Normal
0015.mp4	Normal
0016.mp4	Normal
0017.mp4	Normal
0018.mp4	Normal
0019.mp4	Normal
0020.mp4	Normal
0021.mp4	Normal
0022.mp4	Normal
0023.mp4	Normal
0024.mp4	Normal
0025.mp4	Normal
0026.mp4	Normal
0027.mp4	Normal
0028.mp4	Normal
0029.mp4	Normal
0030.mp4	Normal
0031.mp4	Normal
0032.mp4	Normal
0033.mp4	Normal
0034.mp4	Normal
0035.mp4	Normal
0036.mp4	Normal
0037.mp4	Normal
0038.mp4	Normal
0039.mp4	Normal
0040.mp4	Normal
0041.mp4	Normal
0042.mp4	Normal
0043.mp4	Normal
0044.mp4	Normal
0045.mp4	Normal
0046.mp4	Normal
0047.mp4	Normal
0048.mp4	Normal
0049.mp4	Normal
0050.mp4	Normal
0051.mp4	Normal
0052.mp4	Normal
0053.mp4	Normal
0054.mp4	Normal
0055.mp4	Normal
0056.mp4	Normal
0057.mp4	Normal
0058.mp4	Normal
0059.mp4	Normal
0060.mp4	Normal
0061.mp4	Normal
0062.mp4	Normal
0063.mp4	Normal
0064.mp4	Normal
0065.mp4	Normal
0066.mp4	Normal
0067.mp4	Normal
0068.mp4	Normal
0069.mp4	Normal
0070.mp4	Normal
0071.mp4	Normal
0072.mp4	Normal
0073.mp4	Normal
0074.mp4	Normal
0075.mp4	Normal
0076.mp4	Normal
0077.mp4	Normal
0078.mp4	Normal
0079.mp4	Normal
0080.mp4	Normal
0081.mp4	Normal
0082.mp4	Normal
0083.mp4	Normal
0084.mp4	Normal
0085.mp4	Normal
0086.mp4	Normal
0087.mp4	Normal
0088.mp4	Normal
0089.mp4	Normal
0090.mp4	Normal
0091.mp4	Normal
0092.mp4	Normal
0093.mp4	Normal
0094.mp4	Normal
0095.mp4	Normal
0096.mp4	Normal
0097.mp4	Normal
0098.mp4	Normal
0099.mp4	Normal
0100.mp4	Normal
0101.mp4	Normal
0102.mp4	Normal
0103.mp4	Normal
0104.mp4	Normal
0105.mp4	Normal
0106.mp4	Normal
0107.mp4	Normal
0108.mp4	Normal
0109.mp4	Normal
0110.mp4	Normal
0111.mp4	Normal
0112.mp4	Normal
0113.mp4	Normal
0114.mp4	Normal
0115.mp4	Normal
0116.mp4	Normal
0117.mp4	Normal
0118.mp4	Normal
0119.mp4	Normal
0120.mp4	Normal
0121.mp4	Normal
0122.mp4	Normal
0123.mp4	Normal
0124.mp4	Normal
0125.mp4	Normal
0126.mp4	Normal
0127.mp4	Normal
0128.mp4	Normal
0129.mp4	Normal
0130.mp4	Normal
0131.mp4	Normal
0132.mp4	Normal
0133.mp4	Normal
0134.mp4	Normal
0135.mp4	Normal
0136.mp4	Normal
0137.mp4	Normal
0138.mp4	Normal
0139.mp4	Normal
0140.mp4	Normal
0141.mp4	Normal
0142.mp4	Normal
0143.mp4	Normal
0144.mp4	Normal
0145.mp4	Normal
0146.mp4	Normal
0147.mp4	Normal
0148.mp4	Normal
0150.mp4	Normal
0151.mp4	Normal
0152.mp4	Normal
0153.mp4	Normal
0154.mp4	Normal
0155.mp4	Normal
0156.mp4	Normal
0157.mp4	Normal
0158.mp4	Normal
0159.mp4	Normal
0160.mp4	Normal
0161.mp4	Normal
0162.mp4	Normal
0163.mp4	Normal
0164.mp4	Normal
0165.mp4	Normal
0166.mp4	Normal
0167.mp4	Normal
0168.mp4	Normal
0169.mp4	Normal
0170.mp4	Normal
0171.mp4	Normal
0172.mp4	Normal
0173.mp4	Normal
0174.mp4	Normal
0175.mp4	Normal
0176.mp4	Normal
0177.mp4	Normal
0178.mp4	Normal
0179.mp4	Normal
0180.mp4	Normal
0181.mp4	Normal
0182.mp4	Normal
0183.mp4	Normal
0184.mp4	Normal
0185.mp4	Normal
0186.mp4	Normal
0187.mp4	Normal
0188.mp4	Normal
0189.mp4	Normal
0190.mp4	Normal
0191.mp4	Normal
0192.mp4	Normal
0193.mp4	Normal
0194.mp4	Normal
0195.mp4	Normal
0196.mp4	Normal
0197.mp4	Normal
0198.mp4	Normal
0199.mp4	Normal
0200.mp4	Normal
0201.mp4	Normal
0202.mp4	Normal
0203.mp4	Normal
0204.mp4	Normal
0205.mp4	Normal
0206.mp4	Normal
0207.mp4	Normal
0208.mp4	Normal
0209.mp4	Normal
0210.mp4	Normal
0211.mp4	Normal
0212.mp4	Normal
0213.mp4	Normal
0214.mp4	Normal
0215.mp4	Normal
0217.mp4	Normal
0218.mp4	Normal
0219.mp4	Normal
0220.mp4	Normal
0221.mp4	Normal
0222.mp4	Normal
0223.mp4	Normal
0224.mp4	Normal
0225.mp4	Normal
0226.mp4	Normal
0227.mp4	Normal
0228.mp4	Normal
0229.mp4	Normal
0230.mp4	Normal
0231.mp4	Normal
0232.mp4	Normal
0233.mp4	Normal
0234.mp4	Normal
0235.mp4	Normal
0236.mp4	Normal
0237.mp4	Normal
0238.mp4	Normal
0239.mp4	Normal
0240.mp4	Normal
0241.mp4	Normal
0242.mp4	Normal
0243.mp4	Normal
0244.mp4	Normal
0246.mp4	Normal
0247.mp4	Normal
0248.mp4	Normal
0249.mp4	Normal
0250.mp4	Normal
0251.mp4	Normal
0252.mp4	Normal
0255.mp4	Normal
0256.mp4	Normal
0257.mp4	Normal
0258.mp4	Normal
0259.mp4	Normal
0260.mp4	Normal
0261.mp4	Normal
0262.mp4	Normal
0263.mp4	Normal
0264.mp4	Normal
0265.mp4	Normal
0266.mp4	Normal
0267.mp4	Normal
0268.mp4	Normal
0269.mp4	Normal
0270.mp4	Normal
0271.mp4	Normal
0272.mp4	Fall
0273.mp4	Fall
0274.mp4	Fall
0275.mp4	Fall
0276.mp4	Fall
0277.mp4	Fall
0278.mp4	Fall
0279.mp4	Fall
0280.mp4	Fall
0281.mp4	Fall
0282.mp4	Fall
0283.mp4	Fall
0284.mp4	Fall
0285.mp4	Fall
0286.mp4	Fall
0287.mp4	Fall
0288.mp4	Fall
0289.mp4	Fall
0290.mp4	Fall
0291.mp4	Fall
0292.mp4	Fall
0293.mp4	Fall
0294.mp4	Fall
0295.mp4	Fall
0296.mp4	Fall
0297.mp4	Fall
0298.mp4	Fall
0299.mp4	Fall
0300.mp4	Fall
0301.mp4	Fall
0302.mp4	Fall
0303.mp4	Fall
0304.mp4	Fall
0305.mp4	Fall
0306.mp4	Fall
0307.mp4	Fall
0308.mp4	Fall
0309.mp4	Fall
0310.mp4	Fall
0311.mp4	Fall
0312.mp4	Fall
0313.mp4	Fall
